word,pattern
ב ג ד ת י,A
ב ג ד ת,A
ב ג ד,A
ב ג ד ה,A
ב ג ד נ ו,A
ב ג ד ת ם,A
ב ג ד ת ן,A
ב ג ד ו,A
ב ו ג ד,A
ב ו ג ד ת,A
ב ו ג ד י ם,A
ב ו ג ד ו ת,A
ב ג ו ד,A
ב ג ו ד ה,A
ב ג ו ד י ם,A
ב ג ו ד ו ת,A
א ב ג ו ד,A
א ב ג ד,A
ת ב ג ו ד,A
ת ב ג ד,A
ת ב ג ד י,A
י ב ג ו ד,A
י ב ג ד,A
נ ב ג ו ד,A
נ ב ג ד,A
ת ב ג ד ו,A
ת ב ג ו ד נ ה,A
ת ב ג ד נ ה,A
י ב ג ד ו,A
ב ג ד י,A
ב ג ו ד נ ה,A
ב ג ד נ ה,A
ל ב ג ו ד,A
ל ב ג ד,A
ב ד ק ת י,A
ב ד ק ת,A
ב ד ק,A
ב ד ק ה,A
ב ד ק נ ו,A
ב ד ק ת ם,A
ב ד ק ת ן,A
ב ד ק ו,A
ב ו ד ק,A
ב ו ד ק ת,A
ב ו ד ק י ם,A
ב ו ד ק ו ת,A
ב ד ו ק,A
ב ד ו ק ה,A
ב ד ו ק י ם,A
ב ד ו ק ו ת,A
א ב ד ו ק,A
א ב ד ק,A
ת ב ד ו ק,A
ת ב ד ק,A
ת ב ד ק י,A
י ב ד ו ק,A
י ב ד ק,A
נ ב ד ו ק,A
נ ב ד ק,A
ת ב ד ק ו,A
ת ב ד ו ק נ ה,A
ת ב ד ק נ ה,A
י ב ד ק ו,A
ב ד ק י,A
ב ד ו ק נ ה,A
ב ד ק נ ה,A
ל ב ד ו ק,A
ל ב ד ק,A
ב ז ז ת י,A
ב ז ז ת,A
ב ז ז,A
ב ז ז ה,A
ב ז ז נ ו,A
ב ז ז ת ם,A
ב ז ז ת ן,A
ב ז ז ו,A
ב ו ז ז,A
ב ו ז ז ת,A
ב ו ז ז י ם,A
ב ו ז ז ו ת,A
ב ז ו ז,A
ב ז ו ז ה,A
ב ז ו ז י ם,A
ב ז ו ז ו ת,A
א ב ז ו ז,A
א ב ז ז,A
ת ב ז ו ז,A
ת ב ז ז,A
ת ב ז ז י,A
י ב ז ו ז,A
י ב ז ז,A
נ ב ז ו ז,A
נ ב ז ז,A
ת ב ז ז ו,A
ת ב ז ו ז נ ה,A
ת ב ז ז נ ה,A
י ב ז ז ו,A
ב ז ז י,A
ב ז ו ז נ ה,A
ב ז ז נ ה,A
ל ב ז ו ז,A
ל ב ז ז,A
ב ז ק ת י,A
ב ז ק ת,A
ב ז ק,A
ב ז ק ה,A
ב ז ק נ ו,A
ב ז ק ת ם,A
ב ז ק ת ן,A
ב ז ק ו,A
ב ו ז ק,A
ב ו ז ק ת,A
ב ו ז ק י ם,A
ב ו ז ק ו ת,A
ב ז ו ק,A
ב ז ו ק ה,A
ב ז ו ק י ם,A
ב ז ו ק ו ת,A
א ב ז ו ק,A
א ב ז ק,A
ת ב ז ו ק,A
ת ב ז ק,A
ת ב ז ק י,A
י ב ז ו ק,A
י ב ז ק,A
נ ב ז ו ק,A
נ ב ז ק,A
ת ב ז ק ו,A
ת ב ז ו ק נ ה,A
ת ב ז ק נ ה,A
י ב ז ק ו,A
ב ז ק י,A
ב ז ו ק נ ה,A
ב ז ק נ ה,A
ל ב ז ו ק,A
ל ב ז ק,A
ב ח ר ת י,A
ב ח ר ת,A
ב ח ר,A
ב ח ר ה,A
ב ח ר נ ו,A
ב ח ר ת ם,A
ב ח ר ת ן,A
ב ח ר ו,A
ב ו ח ר,A
ב ו ח ר ת,A
ב ו ח ר י ם,A
ב ו ח ר ו ת,A
ב ח ו ר,A
ב ח ו ר ה,A
ב ח ו ר י ם,A
ב ח ו ר ו ת,A
א ב ח ו ר,A
א ב ח ר,A
ת ב ח ו ר,A
ת ב ח ר,A
